"arc_length","Density","Eddy_Viscosity","Heat_Flux","Laminar_Viscosity","Omega","Points_Magnitude","Points_X","Points_Y","Points_Z","Pressure","Pressure_Coefficient","Residual_Omega","Residual_Pressure","Residual_TKE","Residual_Velocity_Magnitude","Residual_Velocity_X","Residual_Velocity_Y","Residual_Velocity_Z","Skin_Friction_Coefficient_Magnitude","Skin_Friction_Coefficient_X","Skin_Friction_Coefficient_Y","Skin_Friction_Coefficient_Z","Turb_Kin_Energy","Velocity_Magnitude","Velocity_X","Velocity_Y","Velocity_Z","Y_Plus","arc_length","vtkValidPointMask","Density","Eddy_Viscosity","Heat_Flux","Laminar_Viscosity","Omega","Points_Magnitude","Points_X","Points_Y","Points_Z","Pressure","Pressure_Coefficient","Residual_Omega","Residual_Pressure","Residual_TKE","Residual_Velocity_Magnitude","Residual_Velocity_X","Residual_Velocity_Y","Residual_Velocity_Z","Skin_Friction_Coefficient_Magnitude","Skin_Friction_Coefficient_X","Skin_Friction_Coefficient_Y","Skin_Friction_Coefficient_Z","Turb_Kin_Energy","Velocity_Magnitude","Velocity_X","Velocity_Y","Velocity_Z","Y_Plus","arc_length","vtkValidPointMask","Density","Eddy_Viscosity","Heat_Flux","Laminar_Viscosity","Omega","Points_Magnitude","Points_X","Points_Y","Points_Z","Pressure","Pressure_Coefficient","Residual_Omega","Residual_Pressure","Residual_TKE","Residual_Velocity_Magnitude","Residual_Velocity_X","Residual_Velocity_Y","Residual_Velocity_Z","Skin_Friction_Coefficient_Magnitude","Skin_Friction_Coefficient_X","Skin_Friction_Coefficient_Y","Skin_Friction_Coefficient_Z","Turb_Kin_Energy","Velocity_Magnitude","Velocity_X","Velocity_Y","Velocity_Z","Y_Plus","arc_length","vtkValidPointMask"
0,1,8.6143e-17,0,1.62258e-06,1.16086e+06,0.5,-0.5,0,0,-0.135551,-0.271102,0,1.20198e-10,0,0,0,0,0,0.00529145,0.00529145,0,0,1e-10,0,0,0,0,1.06004,0,,1,8.6143e-17,0,1.62258e-06,1.16086e+06,0.15,-0.15,0,0,-0.187307,-0.374613,0,3.54035e-11,0,0,0,0,0,0.00505838,0.00505838,0,0,1e-10,0,0,0,0,1.03644,0,,1,8.91201e-17,0,1.62258e-06,1.12208e+06,0,0,0,0,-0.216613,-0.433226,0,1.9061e-13,0,0,0,0,0,7.07009e-05,-4.56538e-05,5.39848e-05,0,1e-10,0,0,0,0,0.124632,0,
4e-05,1,3.29832e-10,0,1.62258e-06,113792,0.5,-0.5,4e-05,0,-0.135551,-0.271101,5.75027e-08,1.20262e-10,1.78044e-16,7.7999e-12,7.79954e-12,7.4845e-14,0,0,0,0,0,1.37726e-05,0.0651934,0.0651934,3.84324e-07,0,0,4e-05,,1,2.98579e-10,0,1.62258e-06,113781,0.15,-0.15,4e-05,0,-0.187307,-0.374613,2.5203e-08,3.54807e-11,3.68946e-16,2.7816e-12,2.7813e-12,4.09507e-14,0,0,0,0,0,1.24585e-05,0.0623246,0.0623246,3.27937e-08,0,0,4e-05,,1,3.84575e-10,0,1.62258e-06,108244,4e-05,0,4e-05,0,-0.212391,-0.424781,2.05405e-10,2.14136e-13,4.64664e-18,3.15982e-14,3.15571e-14,-1.61199e-15,0,0,0,0,0,1.57645e-05,0.0688094,0.0687644,-0.00248778,0,0,4e-05,
8e-05,1,5.66684e-09,0,1.62258e-06,29426.4,0.5,-0.5,8e-05,0,-0.13555,-0.271101,2.57253e-08,1.20305e-10,1.38427e-15,1.56452e-11,1.56449e-11,9.54974e-14,0,0,0,0,0,0.00010182,0.13011,0.13011,1.57413e-06,0,0,8e-05,,1,5.14845e-09,0,1.62258e-06,29396.6,0.15,-0.15,8e-05,0,-0.187307,-0.374613,1.87658e-08,3.55158e-11,2.79385e-15,5.60514e-12,5.60482e-12,6.04825e-14,0,0,0,0,0,9.21789e-05,0.124411,0.124411,1.41701e-07,0,0,8e-05,,1,6.08689e-09,0,1.62258e-06,28052.3,8e-05,0,8e-05,0,-0.212295,-0.42459,2.31776e-10,2.38041e-13,3.51752e-17,5.48617e-14,5.48412e-14,-1.49809e-15,0,0,0,0,0,0.000107392,0.134723,0.134702,-0.00237015,0,0,8e-05,
0.00012,1,3.09534e-08,0,1.62258e-06,12455.2,0.5,-0.5,0.00012,0,-0.13555,-0.271101,1.6198e-08,1.2033e-10,4.9996e-15,2.34533e-11,2.3453e-11,1.22025e-13,0,0,0,0,0,0.000349389,0.194304,0.194304,3.43512e-06,0,0,0.00012,,1,2.82476e-08,0,1.62258e-06,12402.6,0.15,-0.15,0.00012,0,-0.187307,-0.374613,1.99248e-08,3.55407e-11,9.74359e-15,8.40136e-12,8.40105e-12,7.15813e-14,0,0,0,0,0,0.000316841,0.185868,0.185868,3.11728e-07,0,0,0.00012,,1,3.21337e-08,0,1.62258e-06,12123.6,0.00012,0,0.00012,0,-0.212097,-0.424193,1.88887e-10,2.62694e-13,1.24518e-16,8.24627e-14,8.24575e-14,-9.25986e-16,0,0,0,0,0,0.000354648,0.19864,0.198627,-0.0022578,0,0,0.00012,
0.00016,1,1.34046e-07,0,1.62258e-06,7789.33,0.5,-0.5,0.00016,0,-0.13555,-0.271101,1.46866e-08,1.20358e-10,1.41415e-14,3.09742e-11,3.09738e-11,1.39972e-13,0,0,0,0,0,0.000913699,0.255518,0.255518,6.10334e-06,0,0,0.00016,,1,1.23543e-07,0,1.62258e-06,7723.73,0.15,-0.15,0.00016,0,-0.187307,-0.374613,2.07966e-08,3.55673e-11,2.54272e-14,1.10478e-11,1.10476e-11,7.98473e-14,0,0,0,0,0,0.000833305,0.244694,0.244694,5.56168e-07,0,0,0.00016,,1,1.35107e-07,0,1.62258e-06,7609.4,0.00016,0,0.00016,0,-0.211978,-0.423956,1.76443e-10,2.88069e-13,3.31631e-16,1.13575e-13,1.13575e-13,-1.89508e-16,0,0,0,0,0,0.000902035,0.258495,0.258485,-0.00231632,0,0,0.00016,
0.0002,1,3.60741e-07,0,1.62258e-06,5396.06,0.5,-0.5,0.0002,0,-0.13555,-0.271101,1.4246e-08,1.20386e-10,2.73427e-14,3.77469e-11,3.77466e-11,1.56675e-13,0,0,0,0,0,0.00169308,0.310317,0.310317,9.33518e-06,0,0,0.0002,,1,3.38149e-07,0,1.62258e-06,5327.91,0.15,-0.15,0.0002,0,-0.187307,-0.374613,1.94077e-08,3.55945e-11,4.37365e-14,1.33561e-11,1.33558e-11,8.77414e-14,0,0,0,0,0,0.00156104,0.297651,0.297651,8.56346e-07,0,0,0.0002,,1,3.59888e-07,0,1.62258e-06,5267.02,0.0002,0,0.0002,0,-0.211855,-0.423709,1.59248e-10,3.13395e-13,5.86777e-16,1.4478e-13,1.4478e-13,1.9032e-16,0,0,0,0,0,0.00164694,0.311525,0.311515,-0.00245046,0,0,0.0002,
0.00024,1,6.62836e-07,0,1.62258e-06,3975.77,0.5,-0.5,0.00024,0,-0.13555,-0.2711,1.42236e-08,1.20415e-10,4.18611e-14,4.39502e-11,4.39498e-11,1.72516e-13,0,0,0,0,0,0.00253324,0.360315,0.360315,1.28773e-05,0,0,0.00024,,1,6.27379e-07,0,1.62258e-06,3909.46,0.15,-0.15,0.00024,0,-0.187307,-0.374613,1.71836e-08,3.56221e-11,6.13703e-14,1.54264e-11,1.54261e-11,9.53576e-14,0,0,0,0,0,0.0023538,0.346128,0.346128,1.18939e-06,0,0,0.00024,,1,6.59899e-07,0,1.62258e-06,3861.1,0.00024,0,0.00024,0,-0.211734,-0.423468,1.40379e-10,3.386e-13,8.44458e-16,1.75594e-13,1.75594e-13,2.49718e-16,0,0,0,0,0,0.00244704,0.359649,0.35964,-0.00260267,0,0,0.00024,
0.00028,1,1.08516e-06,0,1.62258e-06,3255.65,0.5,-0.5,0.00028,0,-0.13555,-0.2711,1.43841e-08,1.20444e-10,5.60927e-14,4.90126e-11,4.90123e-11,1.86764e-13,0,0,0,0,0,0.00332534,0.400831,0.400831,1.68451e-05,0,0,0.00028,,1,1.03939e-06,0,1.62258e-06,3194.07,0.15,-0.15,0.00028,0,-0.187306,-0.374613,1.47484e-08,3.565e-11,7.32367e-14,1.70522e-11,1.70519e-11,1.02425e-13,0,0,0,0,0,0.00311868,0.385605,0.385605,1.57252e-06,0,0,0.00028,,1,1.08177e-06,0,1.62258e-06,3148.45,0.00028,0,0.00028,0,-0.211631,-0.423263,1.21366e-10,3.63422e-13,1.05106e-15,2.0487e-13,2.04869e-13,-4.13699e-16,0,0,0,0,0,0.00320069,0.398424,0.398415,-0.00272587,0,0,0.00028,
0.00032,1,1.53152e-06,0,1.62258e-06,2684.26,0.5,-0.5,0.00032,0,-0.13555,-0.2711,1.44868e-08,1.20473e-10,6.91401e-14,5.35336e-11,5.35333e-11,2.00335e-13,0,0,0,0,0,0.0040093,0.436793,0.436793,2.09845e-05,0,0,0.00032,,1,1.48086e-06,0,1.62258e-06,2626.8,0.15,-0.15,0.00032,0,-0.187306,-0.374613,1.27169e-08,3.5678e-11,8.24521e-14,1.84908e-11,1.84904e-11,1.09231e-13,0,0,0,0,0,0.00378429,0.420633,0.420633,1.98214e-06,0,0,0.00032,,1,1.53289e-06,0,1.62258e-06,2584.04,0.00032,0,0.00032,0,-0.211538,-0.423075,1.06397e-10,3.87975e-13,1.23161e-15,2.33618e-13,2.33613e-13,-1.57018e-15,0,0,0,0,0,0.00385351,0.432755,0.432746,-0.00282235,0,0,0.00032,
0.00036,1,2.00869e-06,0,1.62258e-06,2303.61,0.5,-0.5,0.00036,0,-0.13555,-0.2711,1.45154e-08,1.20502e-10,8.06691e-14,5.73603e-11,5.73599e-11,2.13038e-13,0,0,0,0,0,0.0045546,0.466916,0.466916,2.53438e-05,0,0,0.00036,,1,1.96011e-06,0,1.62258e-06,2249.48,0.15,-0.15,0.00036,0,-0.187306,-0.374613,1.12031e-08,3.57059e-11,8.82679e-14,1.96891e-11,1.96887e-11,1.15701e-13,0,0,0,0,0,0.00432258,0.449956,0.449956,2.42574e-06,0,0,0.00036,,1,2.02149e-06,0,1.62258e-06,2209.73,0.00036,0,0.00036,0,-0.211455,-0.422911,9.66132e-11,4.12184e-13,1.37875e-15,2.61697e-13,2.61675e-13,-3.35897e-15,0,0,0,0,0,0.00437702,0.461387,0.461378,-0.00288454,0,0,0.00036,
