"Density","Eddy_Viscosity","Heat_Flux","Laminar_Viscosity","Omega","Pressure","Pressure_Coefficient","Residual_Omega","Residual_Pressure","Residual_TKE","Residual_Velocity:0","Residual_Velocity:1","Residual_Velocity:2","Skin_Friction_Coefficient:0","Skin_Friction_Coefficient:1","Skin_Friction_Coefficient:2","Turb_Kin_Energy","Velocity:0","Velocity:1","Velocity:2","Y_Plus","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1,1.1523e-16,0,1.6226e-06,8.678e+05,0.012439,0.024877,0,3.8226e-11,0,0,0,0,0.0018499,0,0,1e-10,0,0,0,0.72491,1,0,0.5,-0.0267,0
1,2.593e-10,0,1.6226e-06,51402,0.012438,0.024876,8.7787e-08,3.8289e-11,-6.2705e-15,2.3997e-11,-4.8463e-14,0,0,0,0,6.6895e-06,0.038067,-1.2792e-06,0,0,1,6.6699e-05,0.5,-0.026633,0
1,5.8749e-09,0,1.6226e-06,9512.1,0.012438,0.024876,1.8906e-07,3.8313e-11,-5.1252e-14,4.6006e-11,-2.4824e-14,0,0,0,0,5.4264e-05,0.076241,-4.6732e-06,0,0,1,0.0001334,0.5,-0.026567,0
1,6.0769e-08,0,1.6226e-06,4354,0.012438,0.024876,3.0792e-07,3.8336e-11,-2.2086e-13,6.5093e-11,4.7805e-14,0,0,0,0,0.00022864,0.11387,-1.0489e-05,0,0,1,0.0002001,0.5,-0.0265,0
1,2.3682e-07,0,1.6226e-06,2532.9,0.012438,0.024876,4.028e-07,3.8359e-11,-5.3911e-13,8.2301e-11,1.6434e-13,0,0,0,0,0.00055104,0.14925,-1.8344e-05,0,0,1,0.0002668,0.5,-0.026433,0
1,5.9145e-07,0,1.6226e-06,1700,0.012438,0.024875,4.5428e-07,3.8382e-11,-9.6039e-13,9.8902e-11,3.1442e-13,0,0,0,0,0.00098246,0.18047,-2.817e-05,0,0,1,0.0003335,0.5,-0.026367,0
1,1.1716e-06,0,1.6226e-06,1265.4,0.012437,0.024875,4.4817e-07,3.8407e-11,-1.3941e-12,1.1528e-10,4.8147e-13,0,0,0,0,0.0014346,0.20549,-4.0286e-05,0,0,1,0.0004002,0.5,-0.0263,0
1,1.9528e-06,0,1.6226e-06,989.38,0.012437,0.024874,4.0594e-07,3.8433e-11,-1.8047e-12,1.3026e-10,6.4721e-13,0,0,0,0,0.0018336,0.22503,-5.4675e-05,0,0,1,0.0004669,0.5,-0.026233,0
1,2.8733e-06,0,1.6226e-06,787.73,0.012436,0.024872,3.5185e-07,3.8458e-11,-2.2024e-12,1.4374e-10,8.0783e-13,0,0,0,0,0.0021902,0.24129,-7.0692e-05,0,0,1,0.0005336,0.5,-0.026166,0
1,3.9372e-06,0,1.6226e-06,646.43,0.012435,0.024871,2.9162e-07,3.8484e-11,-2.5884e-12,1.5544e-10,9.6125e-13,0,0,0,0,0.0025005,0.25442,-8.8413e-05,0,0,1,0.0006003,0.5,-0.0261,0
1,5.1889e-06,0,1.6226e-06,549.99,0.012434,0.024868,2.3935e-07,3.8509e-11,-2.9554e-12,1.6459e-10,1.102e-12,0,0,0,0,0.0027636,0.26462,-0.00010828,0,0,1,0.000667,0.5,-0.026033,0
1,6.4907e-06,0,1.6226e-06,465.53,0.012433,0.024866,1.8922e-07,3.8535e-11,-3.3173e-12,1.7306e-10,1.2394e-12,0,0,0,0,0.0030141,0.27403,-0.00012873,0,0,1,0.0007337,0.5,-0.025966,0
1,8.0156e-06,0,1.6226e-06,412.76,0.012432,0.024863,1.5367e-07,3.856e-11,-3.6463e-12,1.7884e-10,1.3613e-12,0,0,0,0,0.0032242,0.28099,-0.00015154,0,0,1,0.0008004,0.5,-0.0259,0
1,9.5488e-06,0,1.6226e-06,361.18,0.01243,0.024861,1.1867e-07,3.8585e-11,-3.974e-12,1.8452e-10,1.4826e-12,0,0,0,0,0.0034328,0.28785,-0.00017445,0,0,1,0.0008671,0.5,-0.025833,0
1,1.1278e-05,0,1.6226e-06,326.98,0.012429,0.024857,9.52e-08,3.861e-11,-4.2676e-12,1.8827e-10,1.5914e-12,0,0,0,0,0.0036146,0.29313,-0.00019928,0,0,1,0.0009338,0.5,-0.025766,0
1,1.3029e-05,0,1.6226e-06,294.74,0.012427,0.024854,7.3017e-08,3.8634e-11,-4.5572e-12,1.9181e-10,1.6989e-12,0,0,0,0,0.0037935,0.29825,-0.00022432,0,0,1,0.0010005,0.5,-0.025699,0
1,1.4893e-05,0,1.6226e-06,269.07,0.012425,0.02485,5.5886e-08,3.8659e-11,-4.8266e-12,1.9448e-10,1.8002e-12,0,0,0,0,0.0039597,0.30267,-0.00025039,0,0,1,0.0010672,0.5,-0.025633,0
1,1.6842e-05,0,1.6226e-06,248.4,0.012423,0.024846,4.2592e-08,3.8684e-11,-5.0804e-12,1.965e-10,1.8968e-12,0,0,0,0,0.0041163,0.30658,-0.00027725,0,0,1,0.0011339,0.5,-0.025566,0
1,1.8792e-05,0,1.6226e-06,227.73,0.012421,0.024842,2.9299e-08,3.8708e-11,-5.3343e-12,1.9852e-10,1.9934e-12,0,0,0,0,0.0042729,0.31049,-0.0003041,0,0,1,0.0012006,0.5,-0.025499,0
1,2.0906e-05,0,1.6226e-06,213.73,0.012419,0.024838,2.1263e-08,3.8733e-11,-5.5595e-12,1.9956e-10,2.0824e-12,0,0,0,0,0.0044132,0.3136,-0.00033238,0,0,1,0.0012673,0.5,-0.025433,0
1,2.3032e-05,0,1.6226e-06,200.15,0.012417,0.024834,1.3567e-08,3.8757e-11,-5.7828e-12,2.0054e-10,2.171e-12,0,0,0,0,0.0045524,0.31665,-0.00036075,0,0,1,0.001334,0.5,-0.025366,0
1,2.5157e-05,0,1.6226e-06,186.57,0.012415,0.024829,5.8711e-09,3.8782e-11,-6.0062e-12,2.0152e-10,2.2595e-12,0,0,0,0,0.0046916,0.31971,-0.00038913,0,0,1,0.0014007,0.5,-0.025299,0
1,2.7431e-05,0,1.6226e-06,177.36,0.012412,0.024824,1.455e-09,3.8806e-11,-6.2053e-12,2.0183e-10,2.3425e-12,0,0,0,0,0.0048169,0.32218,-0.00041873,0,0,1,0.0014674,0.5,-0.025233,0
1,2.9708e-05,0,1.6226e-06,168.23,0.01241,0.02482,-2.8934e-09,3.883e-11,-6.4039e-12,2.0212e-10,2.4254e-12,0,0,0,0,0.004942,0.32463,-0.00044837,0,0,1,0.0015341,0.5,-0.025166,0
1,3.1984e-05,0,1.6226e-06,159.1,0.012407,0.024815,-7.2419e-09,3.8855e-11,-6.6025e-12,2.0241e-10,2.5083e-12,0,0,0,0,0.005067,0.32708,-0.000478,0,0,1,0.0016008,0.5,-0.025099,0
1,3.4344e-05,0,1.6226e-06,151.84,0.012405,0.02481,-1.0317e-08,3.8879e-11,-6.7883e-12,2.024e-10,2.5887e-12,0,0,0,0,0.0051843,0.32924,-0.00050831,0,0,1,0.0016675,0.5,-0.025032,0
1,3.6747e-05,0,1.6226e-06,145.57,0.012402,0.024804,-1.2722e-08,3.8903e-11,-6.9673e-12,2.0224e-10,2.6679e-12,0,0,0,0,0.0052975,0.33125,-0.00053899,0,0,1,0.0017342,0.5,-0.024966,0
1,3.915e-05,0,1.6226e-06,139.31,0.0124,0.024799,-1.5126e-08,3.8927e-11,-7.1463e-12,2.0208e-10,2.747e-12,0,0,0,0,0.0054107,0.33326,-0.00056966,0,0,1,0.0018009,0.5,-0.024899,0
1,4.1553e-05,0,1.6226e-06,133.04,0.012397,0.024794,-1.753e-08,3.8951e-11,-7.3253e-12,2.0192e-10,2.8261e-12,0,0,0,0,0.0055238,0.33527,-0.00060033,0,0,1,0.0018676,0.5,-0.024832,0
1,4.405e-05,0,1.6226e-06,128.51,0.012394,0.024788,-1.8909e-08,3.8975e-11,-7.49e-12,2.0148e-10,2.9032e-12,0,0,0,0,0.0056276,0.33698,-0.00063179,0,0,1,0.0019343,0.5,-0.024766,0
1,4.6554e-05,0,1.6226e-06,124.12,0.012391,0.024783,-2.0207e-08,3.8999e-11,-7.6536e-12,2.0103e-10,2.9801e-12,0,0,0,0,0.0057307,0.33866,-0.00066332,0,0,1,0.002001,0.5,-0.024699,0
1,4.9057e-05,0,1.6226e-06,119.73,0.012389,0.024777,-2.1505e-08,3.9023e-11,-7.8172e-12,2.0057e-10,3.057e-12,0,0,0,0,0.0058338,0.34035,-0.00069484,0,0,1,0.0020677,0.5,-0.024632,0
1,5.1561e-05,0,1.6226e-06,115.35,0.012386,0.024772,-2.2803e-08,3.9046e-11,-7.9808e-12,2.0011e-10,3.1338e-12,0,0,0,0,0.0059368,0.34203,-0.00072637,0,0,1,0.0021344,0.5,-0.024566,0
1,5.4122e-05,0,1.6226e-06,111.92,0.012383,0.024766,-2.3633e-08,3.907e-11,-8.1353e-12,1.9951e-10,3.21e-12,0,0,0,0,0.0060333,0.34353,-0.00075842,0,0,1,0.0022011,0.5,-0.024499,0
1,5.67e-05,0,1.6226e-06,108.79,0.01238,0.02476,-2.4314e-08,3.9093e-11,-8.2868e-12,1.9886e-10,3.2858e-12,0,0,0,0,0.0061276,0.34497,-0.00079063,0,0,1,0.0022678,0.5,-0.024432,0
1,5.9279e-05,0,1.6226e-06,105.67,0.012377,0.024754,-2.4995e-08,3.9117e-11,-8.4383e-12,1.9821e-10,3.3617e-12,0,0,0,0,0.0062219,0.3464,-0.00082285,0,0,1,0.0023345,0.5,-0.024365,0
