"Density","Eddy_Viscosity","Heat_Flux","Laminar_Viscosity","Omega","Pressure","Pressure_Coefficient","Residual_Omega","Residual_Pressure","Residual_TKE","Residual_Velocity:0","Residual_Velocity:1","Residual_Velocity:2","Skin_Friction_Coefficient:0","Skin_Friction_Coefficient:1","Skin_Friction_Coefficient:2","Turb_Kin_Energy","Velocity:0","Velocity:1","Velocity:2","Y_Plus","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1,1.1523e-16,0,1.6226e-06,8.678e+05,0.012522,0.025044,0,5.7005e-11,0,0,0,0,0.0020965,0,0,1e-10,0,0,0,0.77173,1,0,1,-0.0267,0
1,2.2151e-10,0,1.6226e-06,51413,0.012522,0.025045,2.6619e-06,5.6976e-11,2.0876e-13,6.6041e-10,3.6424e-13,0,0,0,0,5.7181e-06,0.043069,6.4401e-08,0,0,1,6.6699e-05,1,-0.026633,0
1,4.9972e-09,0,1.6226e-06,9548.8,0.012522,0.025045,5.7993e-06,5.6951e-11,1.7067e-12,1.3119e-09,5.1795e-13,0,0,0,0,4.6368e-05,0.086015,2.4676e-07,0,0,1,0.0001334,1,-0.026567,0
1,5.0505e-08,0,1.6226e-06,4426.7,0.012522,0.025045,8.5752e-06,5.6921e-11,7.0661e-12,1.9198e-09,5.4818e-13,0,0,0,0,0.00019488,0.12818,5.6687e-07,0,0,1,0.0002001,1,-0.0265,0
1,1.9094e-07,0,1.6226e-06,2640.8,0.012522,0.025045,9.314e-06,5.6899e-11,1.589e-11,2.4252e-09,4.4279e-13,0,0,0,0,0.00046798,0.16804,9.8415e-07,0,0,1,0.0002668,1,-0.026433,0
1,4.61e-07,0,1.6226e-06,1836.3,0.012522,0.025045,8.2743e-06,5.6882e-11,2.5309e-11,2.7883e-09,2.1626e-13,0,0,0,0,0.00083085,0.20391,1.4519e-06,0,0,1,0.0003335,1,-0.026367,0
1,8.7271e-07,0,1.6226e-06,1418.3,0.012522,0.025045,6.612e-06,5.6869e-11,3.1762e-11,3.0065e-09,-8.8286e-14,0,0,0,0,0.0012051,0.23389,1.9066e-06,0,0,1,0.0004002,1,-0.0263,0
1,1.3771e-06,0,1.6226e-06,1148.3,0.012522,0.025045,5.16e-06,5.6861e-11,3.5417e-11,3.1509e-09,-4.3533e-13,0,0,0,0,0.0015223,0.25854,2.266e-06,0,0,1,0.0004669,1,-0.026233,0
1,1.9265e-06,0,1.6226e-06,946.72,0.012522,0.025045,3.9261e-06,5.6857e-11,3.7817e-11,3.2574e-09,-8.1415e-13,0,0,0,0,0.0017933,0.27991,2.5165e-06,0,0,1,0.0005336,1,-0.026166,0
1,2.5135e-06,0,1.6226e-06,800.05,0.012522,0.025045,2.9503e-06,5.6856e-11,3.924e-11,3.331e-09,-1.2268e-12,0,0,0,0,0.0020136,0.29811,2.6349e-06,0,0,1,0.0006003,1,-0.0261,0
1,3.1662e-06,0,1.6226e-06,694.94,0.012522,0.025045,2.2838e-06,5.6855e-11,4e-11,3.3724e-09,-1.6811e-12,0,0,0,0,0.0021805,0.31307,2.5087e-06,0,0,1,0.000667,1,-0.026033,0
1,3.8364e-06,0,1.6226e-06,600.93,0.012522,0.025045,1.6999e-06,5.6853e-11,4.0582e-11,3.4052e-09,-2.1466e-12,0,0,0,0,0.0023333,0.32718,2.3171e-06,0,0,1,0.0007337,1,-0.025966,0
1,4.5817e-06,0,1.6226e-06,538.28,0.012522,0.025044,1.3868e-06,5.6839e-11,4.0952e-11,3.4141e-09,-2.6554e-12,0,0,0,0,0.002439,0.33824,1.749e-06,0,0,1,0.0008004,1,-0.0259,0
1,5.3298e-06,0,1.6226e-06,476.81,0.012522,0.025044,1.0838e-06,5.6824e-11,4.1313e-11,3.4222e-09,-3.1658e-12,0,0,0,0,0.002543,0.34919,1.1666e-06,0,0,1,0.0008671,1,-0.025833,0
1,6.1152e-06,0,1.6226e-06,433.9,0.012522,0.025044,8.8567e-07,5.6814e-11,4.1714e-11,3.4274e-09,-3.7115e-12,0,0,0,0,0.0026178,0.35802,2.1973e-07,0,0,1,0.0009338,1,-0.025766,0
1,6.9048e-06,0,1.6226e-06,393.06,0.012522,0.025044,6.9925e-07,5.6804e-11,4.2119e-11,3.4323e-09,-4.2611e-12,0,0,0,0,0.0026893,0.3666,-7.6789e-07,0,0,1,0.0010005,1,-0.025699,0
1,7.7169e-06,0,1.6226e-06,359.73,0.012522,0.025044,5.5022e-07,5.6801e-11,4.2648e-11,3.4354e-09,-4.8271e-12,0,0,0,0,0.0027491,0.37419,-1.9724e-06,0,0,1,0.0010672,1,-0.025633,0
1,8.5463e-06,0,1.6226e-06,332.1,0.012522,0.025044,4.2961e-07,5.6802e-11,4.3271e-11,3.4372e-09,-5.4055e-12,0,0,0,0,0.0028,0.38103,-3.3417e-06,0,0,1,0.0011339,1,-0.025566,0
1,9.3756e-06,0,1.6226e-06,304.47,0.012522,0.025044,3.09e-07,5.6804e-11,4.3895e-11,3.439e-09,-5.984e-12,0,0,0,0,0.0028509,0.38786,-4.711e-06,0,0,1,0.0012006,1,-0.025499,0
1,1.0253e-05,0,1.6226e-06,284.94,0.012522,0.025043,2.3282e-07,5.6807e-11,4.46e-11,3.434e-09,-6.5884e-12,0,0,0,0,0.0028896,0.39343,-6.4558e-06,0,0,1,0.0012673,1,-0.025433,0
1,1.1133e-05,0,1.6226e-06,265.94,0.012522,0.025043,1.5953e-07,5.681e-11,4.5312e-11,3.4287e-09,-7.1945e-12,0,0,0,0,0.0029274,0.39892,-8.2249e-06,0,0,1,0.001334,1,-0.025366,0
