"Density","Eddy_Viscosity","Heat_Flux","Laminar_Viscosity","Omega","Pressure","Pressure_Coefficient","Residual_Omega","Residual_Pressure","Residual_TKE","Residual_Velocity:0","Residual_Velocity:1","Residual_Velocity:2","Skin_Friction_Coefficient:0","Skin_Friction_Coefficient:1","Skin_Friction_Coefficient:2","Turb_Kin_Energy","Velocity:0","Velocity:1","Velocity:2","Y_Plus","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1,8.912e-17,0,1.6226e-06,1.1221e+06,-0.21661,-0.43323,0,1.9061e-13,0,0,0,0,-4.5654e-05,5.3985e-05,0,1e-10,0,0,0,0.12463,1,0,0,0,0
1,3.8458e-10,0,1.6226e-06,1.0824e+05,-0.21239,-0.42478,2.054e-10,2.1414e-13,4.6466e-18,3.1557e-14,-1.612e-15,0,0,0,0,1.5764e-05,0.068764,-0.0024878,0,0,1,4e-05,0,4e-05,0
1,6.0869e-09,0,1.6226e-06,28052,-0.2123,-0.42459,2.3178e-10,2.3804e-13,3.5175e-17,5.4841e-14,-1.4981e-15,0,0,0,0,0.00010739,0.1347,-0.0023702,0,0,1,8e-05,0,8e-05,0
1,3.2134e-08,0,1.6226e-06,12124,-0.2121,-0.42419,1.8889e-10,2.6269e-13,1.2452e-16,8.2457e-14,-9.2599e-16,0,0,0,0,0.00035465,0.19863,-0.0022578,0,0,1,0.00012,0,0.00012,0
1,1.3511e-07,0,1.6226e-06,7609.4,-0.21198,-0.42396,1.7644e-10,2.8807e-13,3.3163e-16,1.1357e-13,-1.8951e-16,0,0,0,0,0.00090204,0.25848,-0.0023163,0,0,1,0.00016,0,0.00016,0
1,3.5989e-07,0,1.6226e-06,5267,-0.21185,-0.42371,1.5925e-10,3.134e-13,5.8678e-16,1.4478e-13,1.9032e-16,0,0,0,0,0.0016469,0.31152,-0.0024505,0,0,1,0.0002,0,0.0002,0
1,6.599e-07,0,1.6226e-06,3861.1,-0.21173,-0.42347,1.4038e-10,3.386e-13,8.4446e-16,1.7559e-13,2.4972e-16,0,0,0,0,0.002447,0.35964,-0.0026027,0,0,1,0.00024,0,0.00024,0
1,1.0818e-06,0,1.6226e-06,3148.4,-0.21163,-0.42326,1.2137e-10,3.6342e-13,1.0511e-15,2.0487e-13,-4.137e-16,0,0,0,0,0.0032007,0.39841,-0.0027259,0,0,1,0.00028,0,0.00028,0
1,1.5329e-06,0,1.6226e-06,2584,-0.21154,-0.42308,1.064e-10,3.8797e-13,1.2316e-15,2.3361e-13,-1.5702e-15,0,0,0,0,0.0038535,0.43275,-0.0028223,0,0,1,0.00032,0,0.00032,0
1,2.0215e-06,0,1.6226e-06,2209.7,-0.21146,-0.42291,9.6613e-11,4.1218e-13,1.3788e-15,2.6168e-13,-3.359e-15,0,0,0,0,0.004377,0.46138,-0.0028845,0,0,1,0.00036,0,0.00036,0
1,2.5344e-06,0,1.6226e-06,1895.6,-0.21138,-0.42276,8.9148e-11,4.3637e-13,1.5181e-15,2.8949e-13,-5.1733e-15,0,0,0,0,0.0048284,0.48723,-0.0029326,0,0,1,0.0004,0,0.0004,0
1,3.0877e-06,0,1.6226e-06,1681.7,-0.21131,-0.42262,8.5545e-11,4.6053e-13,1.6444e-15,3.1689e-13,-7.0304e-15,0,0,0,0,0.0051596,0.50845,-0.0029572,0,0,1,0.00044,0,0.00044,0
1,3.6411e-06,0,1.6226e-06,1467.8,-0.21124,-0.42248,8.1942e-11,4.8468e-13,1.7707e-15,3.4429e-13,-8.8874e-15,0,0,0,0,0.0054908,0.52967,-0.0029818,0,0,1,0.00048,0,0.00048,0
1,4.2448e-06,0,1.6226e-06,1338.6,-0.21118,-0.42237,8.1374e-11,5.0889e-13,1.8871e-15,3.7155e-13,-1.0415e-14,0,0,0,0,0.0056923,0.54566,-0.0029895,0,0,1,0.00052,0,0.00052,0
1,4.8496e-06,0,1.6226e-06,1211,-0.21113,-0.42225,8.0864e-11,5.331e-13,2.0034e-15,3.988e-13,-1.1936e-14,0,0,0,0,0.0058913,0.56155,-0.0029969,0,0,1,0.00056,0,0.00056,0
1,5.4611e-06,0,1.6226e-06,1093.6,-0.21107,-0.42214,8.0602e-11,5.5735e-13,2.1188e-15,4.2608e-13,-1.3311e-14,0,0,0,0,0.0060733,0.57666,-0.0030027,0,0,1,0.0006,0,0.0006,0
1,6.0988e-06,0,1.6226e-06,1015.4,-0.21102,-0.42204,8.1301e-11,5.8174e-13,2.2312e-15,4.5347e-13,-1.4121e-14,0,0,0,0,0.0061891,0.58873,-0.0030023,0,0,1,0.00064,0,0.00064,0
1,6.7366e-06,0,1.6226e-06,937.19,-0.21097,-0.42195,8.1999e-11,6.0614e-13,2.3436e-15,4.8086e-13,-1.4932e-14,0,0,0,0,0.006305,0.60081,-0.0030019,0,0,1,0.00068,0,0.00068,0
