"Density","Eddy_Viscosity","Heat_Flux","Laminar_Viscosity","Omega","Pressure","Pressure_Coefficient","Residual_Omega","Residual_Pressure","Residual_TKE","Residual_Velocity:0","Residual_Velocity:1","Residual_Velocity:2","Skin_Friction_Coefficient:0","Skin_Friction_Coefficient:1","Skin_Friction_Coefficient:2","Turb_Kin_Energy","Velocity:0","Velocity:1","Velocity:2","Y_Plus","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1,1.1523e-16,0,1.6226e-06,8.678e+05,-0.19852,-0.39703,0,1.1083e-11,0,0,0,0,-0.0021263,0,0,1e-10,0,0,0,0.77718,1,0,0.1,-0.0267,0
1,4.258e-10,0,1.6226e-06,51408,-0.19851,-0.39703,4.1854e-09,1.1172e-11,-6.2428e-17,-5.1138e-13,-2.3041e-14,0,0,0,0,1.0988e-05,-0.042995,7.1896e-06,0,0,1,6.6699e-05,0.1,-0.026633,0
1,9.6475e-09,0,1.6226e-06,9503.3,-0.19851,-0.39702,3.2969e-09,1.1205e-11,-5.4205e-16,-1.0605e-12,-2.1456e-14,0,0,0,0,8.8989e-05,-0.083448,2.4766e-05,0,0,1,0.0001334,0.1,-0.026567,0
1,1.0107e-07,0,1.6226e-06,4287.6,-0.19851,-0.39702,4.7664e-09,1.1238e-11,-2.6102e-15,-1.6404e-12,-1.6117e-14,0,0,0,0,0.00037034,-0.11972,4.9891e-05,0,0,1,0.0002001,0.1,-0.0265,0
1,4.043e-07,0,1.6226e-06,2393.1,-0.19851,-0.39702,5.9816e-09,1.1271e-11,-6.9477e-15,-2.2082e-12,-8.0424e-15,0,0,0,0,0.00087466,-0.15006,7.5919e-05,0,0,1,0.0002668,0.1,-0.026433,0
1,1.0439e-06,0,1.6226e-06,1506.3,-0.19851,-0.39702,6.1264e-09,1.1305e-11,-1.3272e-14,-2.7278e-12,1.2025e-15,0,0,0,0,0.0015267,-0.17283,9.7417e-05,0,0,1,0.0003335,0.1,-0.026367,0
1,2.1657e-06,0,1.6226e-06,1060.7,-0.19851,-0.39702,5.2198e-09,1.1337e-11,-2.0546e-14,-3.1498e-12,9.9958e-15,0,0,0,0,0.002202,-0.18731,0.00010936,0,0,1,0.0004002,0.1,-0.0263,0
1,3.7658e-06,0,1.6226e-06,799.1,-0.19851,-0.39703,4.1852e-09,1.137e-11,-2.7607e-14,-3.4662e-12,1.7882e-14,0,0,0,0,0.0028225,-0.19647,0.00011204,0,0,1,0.0004669,0.1,-0.026233,0
1,5.6838e-06,0,1.6226e-06,619.91,-0.19852,-0.39703,3.2568e-09,1.1401e-11,-3.4255e-14,-3.7189e-12,2.5292e-14,0,0,0,0,0.003398,-0.20299,0.00010911,0,0,1,0.0005336,0.1,-0.026166,0
1,7.9235e-06,0,1.6226e-06,504.86,-0.19852,-0.39704,2.5276e-09,1.1433e-11,-4.0356e-14,-3.9102e-12,3.2283e-14,0,0,0,0,0.003924,-0.20728,0.00010081,0,0,1,0.0006003,0.1,-0.0261,0
1,1.0515e-05,0,1.6226e-06,430.87,-0.19852,-0.39704,2.0445e-09,1.1463e-11,-4.5723e-14,-4.049e-12,3.9074e-14,0,0,0,0,0.0043919,-0.20995,8.7332e-05,0,0,1,0.000667,0.1,-0.026033,0
1,1.3199e-05,0,1.6226e-06,367.85,-0.19852,-0.39705,1.6271e-09,1.1494e-11,-5.0893e-14,-4.1738e-12,4.5811e-14,0,0,0,0,0.0048443,-0.2122,7.248e-05,0,0,1,0.0007337,0.1,-0.025966,0
1,1.6222e-05,0,1.6226e-06,330.21,-0.19853,-0.39705,1.3982e-09,1.1524e-11,-5.5438e-14,-4.2593e-12,5.2576e-14,0,0,0,0,0.0052387,-0.21335,5.3035e-05,0,0,1,0.0008004,0.1,-0.0259,0
1,1.9258e-05,0,1.6226e-06,293.53,-0.19853,-0.39706,1.1763e-09,1.1554e-11,-5.996e-14,-4.3434e-12,5.9342e-14,0,0,0,0,0.005631,-0.21446,3.3417e-05,0,0,1,0.0008671,0.1,-0.025833,0
1,2.2537e-05,0,1.6226e-06,269.58,-0.19853,-0.39706,1.02e-09,1.1584e-11,-6.3681e-14,-4.4044e-12,6.6257e-14,0,0,0,0,0.0059796,-0.21497,1.0558e-05,0,0,1,0.0009338,0.1,-0.025766,0
1,2.5842e-05,0,1.6226e-06,247.05,-0.19854,-0.39707,8.7115e-10,1.1614e-11,-6.7312e-14,-4.4628e-12,7.3189e-14,0,0,0,0,0.0063233,-0.21541,-1.2663e-05,0,0,1,0.0010005,0.1,-0.025699,0
1,2.9263e-05,0,1.6226e-06,229.1,-0.19854,-0.39708,7.6265e-10,1.1643e-11,-7.0797e-14,-4.5118e-12,8.0252e-14,0,0,0,0,0.0066449,-0.21562,-3.7507e-05,0,0,1,0.0010672,0.1,-0.025633,0
1,3.2772e-05,0,1.6226e-06,214.63,-0.19854,-0.39709,6.8483e-10,1.1672e-11,-7.4171e-14,-4.5537e-12,8.7415e-14,0,0,0,0,0.0069495,-0.21565,-6.3584e-05,0,0,1,0.0011339,0.1,-0.025566,0
1,3.628e-05,0,1.6226e-06,200.16,-0.19855,-0.3971,6.0702e-10,1.1701e-11,-7.7545e-14,-4.5955e-12,9.4577e-14,0,0,0,0,0.0072541,-0.21569,-8.9661e-05,0,0,1,0.0012006,0.1,-0.025499,0
1,3.9927e-05,0,1.6226e-06,190.23,-0.19855,-0.39711,5.6157e-10,1.173e-11,-8.0678e-14,-4.6268e-12,1.0198e-13,0,0,0,0,0.0075288,-0.21547,-0.00011797,0,0,1,0.0012673,0.1,-0.025433,0
1,4.3584e-05,0,1.6226e-06,180.59,-0.19856,-0.39711,5.1822e-10,1.1759e-11,-8.3795e-14,-4.6573e-12,1.0941e-13,0,0,0,0,0.0078015,-0.21525,-0.00014641,0,0,1,0.001334,0.1,-0.025366,0
1,4.724e-05,0,1.6226e-06,170.96,-0.19856,-0.39712,4.7487e-10,1.1787e-11,-8.6912e-14,-4.6879e-12,1.1683e-13,0,0,0,0,0.0080742,-0.21502,-0.00017486,0,0,1,0.0014007,0.1,-0.025299,0
1,5.0992e-05,0,1.6226e-06,164.29,-0.19857,-0.39713,4.4532e-10,1.1815e-11,-8.9669e-14,-4.7105e-12,1.2452e-13,0,0,0,0,0.0083211,-0.21462,-0.00020532,0,0,1,0.0014674,0.1,-0.025233,0
1,5.4747e-05,0,1.6226e-06,157.69,-0.19857,-0.39714,4.1606e-10,1.1843e-11,-9.2419e-14,-4.7329e-12,1.3222e-13,0,0,0,0,0.0085675,-0.21421,-0.00023582,0,0,1,0.0015341,0.1,-0.025166,0
1,5.8502e-05,0,1.6226e-06,151.09,-0.19858,-0.39715,3.8679e-10,1.1871e-11,-9.5169e-14,-4.7553e-12,1.3992e-13,0,0,0,0,0.0088138,-0.21381,-0.00026632,0,0,1,0.0016008,0.1,-0.025099,0
1,6.2291e-05,0,1.6226e-06,145.78,-0.19858,-0.39716,3.6578e-10,1.1898e-11,-9.7815e-14,-4.7736e-12,1.4781e-13,0,0,0,0,0.0090458,-0.21332,-0.00029803,0,0,1,0.0016675,0.1,-0.025032,0
1,6.6099e-05,0,1.6226e-06,141.15,-0.19859,-0.39717,3.4913e-10,1.1925e-11,-1.0041e-13,-4.7899e-12,1.5579e-13,0,0,0,0,0.0092701,-0.2128,-0.00033037,0,0,1,0.0017342,0.1,-0.024966,0
1,6.9907e-05,0,1.6226e-06,136.53,-0.19859,-0.39718,3.3247e-10,1.1952e-11,-1.03e-13,-4.8061e-12,1.6378e-13,0,0,0,0,0.0094944,-0.21227,-0.00036271,0,0,1,0.0018009,0.1,-0.024899,0
1,7.3715e-05,0,1.6226e-06,131.9,-0.1986,-0.39719,3.1582e-10,1.1979e-11,-1.0559e-13,-4.8224e-12,1.7176e-13,0,0,0,0,0.0097188,-0.21175,-0.00039505,0,0,1,0.0018676,0.1,-0.024832,0
1,7.7532e-05,0,1.6226e-06,128.51,-0.1986,-0.39721,3.0524e-10,1.2005e-11,-1.0802e-13,-4.8341e-12,1.8e-13,0,0,0,0,0.0099259,-0.21114,-0.00042898,0,0,1,0.0019343,0.1,-0.024766,0
1,8.135e-05,0,1.6226e-06,125.21,-0.19861,-0.39722,2.9515e-10,1.2032e-11,-1.1044e-13,-4.8454e-12,1.8826e-13,0,0,0,0,0.010132,-0.21053,-0.00046302,0,0,1,0.002001,0.1,-0.024699,0
1,8.5169e-05,0,1.6226e-06,121.91,-0.19861,-0.39723,2.8505e-10,1.2058e-11,-1.1286e-13,-4.8567e-12,1.9651e-13,0,0,0,0,0.010337,-0.20991,-0.00049707,0,0,1,0.0020677,0.1,-0.024632,0
1,8.8987e-05,0,1.6226e-06,118.61,-0.19862,-0.39724,2.7495e-10,1.2084e-11,-1.1527e-13,-4.868e-12,2.0477e-13,0,0,0,0,0.010543,-0.2093,-0.00053111,0,0,1,0.0021344,0.1,-0.024566,0
